Designator,Footprint,Quantity,Value,LCSC Part #
"C1301, C1302, C303, C304, C305",0402,5,1uF_25V,
"C1303, C1311",0402,2,1uF_35V,
"C1304, C1305, C1306, C1307, C1308, C1309, C1310, C1312, C1313, C1314, C401, C403, C404, C408, C413, C417",0402,16,0.1uF_100V,
"C1315, C1316",0402,2,15pF_25V,
"C301, C414, C415",0805,3,2.2uF_100V,
C302,0805,1,47uF_10V,
C402,0603,1,22nF_100V,
C405,0402,1,0.47uF_35V,
"C406, C407",0402,2,2.2uF_35V,
"C409, C410, C411, C412",0402,4,0.22uF_25V,
C416,CP_Hybrid_EEHZS1H221V,1,220uF_63V,
"D1301, D1302",CR_DSN2_152AB-C_OSI,2,D_SCHOTTKY_40V_2A,
D301,0402,1,LED_RED,
D302,0402,1,LED_GRN,
D303,0402,1,LED_YEL,
D401,SMFSeries_LTF,1,D_Zener_48V_2.6A,
J1301,USB_C_Receptacle_Amphenol_10152803-00011LF,1,Connector_USB_C_Receptacle,
J301,Molex_Pico-SPOX-87438_1x02-P1.5mm_Horizontal,1,Molex_Pico-SPOX_Horizontal,
J302,Molex_Micro-Lock-PLUS-505568_1x02_P1.25mm_Vertical,1,Molex_Pico-Lock-PLUS_Vertical,
J401,Molex_Pico-SPOX-87438_1x04-P1.5mm_Horizontal,1,Molex_Pico-SPOX_Horizontal,
J402,Molex_Pico-Clasp-501568_1x02_P1mm_Horizontal,1,Molex_Pico-Clasp_Horizontal,
L301,IND_CB_SD25,1,150uH_553mA,
Q301,XFDFN-3,1,MOSFET-N-CH,
"R1001, R1101, R1201, R501, R601, R701, R801, R901",0402,8,15,
R1301,0402,1,10.0k,
"R1302, R1303",0402,2,5.1k,
"R1304, R1305",0402,2,27,
"R1306, R1307",0402,2,1k,
R301,0805,1,2.32k,
R302,0402,1,64.9,
R303,0402,1,150,
R401,0402,1,2.2,
"R402, R403, R406, R407",0402,4,47,
"R404, R405",1206,2,0.15,
SW1301,SMT_1045822_WRE,1,Switch_Tactile_SPST-NO_SMT_Side,
"U1001, U1101, U1201, U501, U601, U701, U801, U901",BUK7D3660EX_NEX,8,BUK7D36-60EX,
"U1301, U302",TPS737Q1,2,Linear_3.3V_1A,
U1302,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,MCU_RP2040,
U1303,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,Memory_Flash_W25Q128JVZPIQ,
U301,Texas_S-PVSON-N10_ThermalVias,1,Switching_5V_500mA,
U401,21-100593_ADI,1,TMC5160A-WA,
U402,SOT192P237X122-4N,1,MAX6816,
X401,OSC_ECS-2520S33-160-FN-TR,1,16MHz,
Y1301,Crystal_SMD_Abracon_ABM8-4Pin_3.2x2.5mm,1,Crystal_12MHz,
